title,"resource url",rrid,"rrid url","proper citation","source name"
"Ludwig-Maximilians-University; Munich; Germany",http://www.en.uni-muenchen.de/,RRID:SCR_011358,https://scicrunch.org/resolver/RRID:SCR_011358?i=rrid:scr_011358,"Ludwig-Maximilians-University; Munich; Germany (RRID:SCR_011358)","SciCrunch: Registry"
CoCoMac,http://cocomac.g-node.org/main/index.php?,RRID:SCR_007277,https://scicrunch.org/resolver/RRID:SCR_007277?i=rrid:scr_007277,"CoCoMac (RRID:SCR_007277)","SciCrunch: Registry"
"German Neuroinformatics Node (G-Node)",http://www.neuroinf.de,RRID:SCR_007279,https://scicrunch.org/resolver/RRID:SCR_007279?i=rrid:scr_007279,"German Neuroinformatics Node (G-Node) (RRID:SCR_007279)","SciCrunch: Registry"
